Group ID,Time Range,Task Count
0,0-5,1
1,6-11,1
2,12-17,5
3,18-23,2
4,24-29,4
5,30-35,8
6,36-41,8
7,42-47,7
8,48-53,4
9,54-59,17
10,60-65,9
11,66-71,10
12,72-77,24
13,78-83,16
14,84-89,21
15,90-95,21
16,96-101,25
17,102-107,33
18,108-113,25
19,114-119,41
20,120-125,44
21,126-131,50
22,132-137,47
23,138-143,48
24,144-149,43
25,150-155,41
26,156-161,38
27,162-167,45
28,168-173,40
29,174-179,36
30,180-185,32
31,186-191,33
32,192-197,21
33,198-203,26
34,204-209,13
35,210-215,9
36,216-221,15
37,222-227,26
38,228-233,23
39,234-239,21
40,240-245,33
41,246-251,29
42,252-257,42
43,258-263,45
44,264-269,50
45,270-275,44
46,276-281,49
47,282-287,34
48,288-293,50
49,294-299,49
50,300-305,42
51,306-311,37
52,312-317,34
53,318-323,36
54,324-329,18
55,330-335,24
56,336-341,18
57,342-347,25
58,348-353,26
59,354-359,22
60,360-365,17
61,366-371,21
62,372-377,21
63,378-383,23
64,384-389,28
65,390-395,41
66,396-401,35
67,402-407,40
68,408-413,36
69,414-419,49
70,420-425,45
71,426-431,45
72,432-437,44
73,438-443,32
74,444-449,41
75,450-455,27
76,456-461,23
77,462-467,46
78,468-473,33
79,474-479,24
80,480-485,15
81,486-491,10
82,492-497,2
83,498-503,2
